time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0312118530273438,11,35,54,58,30,66,89,94,94,1068,23.32,73.98,65.11
2.1510236263275146,107,267,391,415,423,697,847,877,882,1014,21.99,71.59,56.86
3.174156904220581,124,311,458,487,478,799,976,1012,1017,1033,21.99,71.58,56.90
4.197600841522217,150,378,556,592,576,965,1182,1225,1231,1052,21.98,71.56,56.94
5.2063000202178955,177,448,660,702,677,1138,1395,1446,1453,1067,21.97,71.55,56.96
6.229438781738281,205,520,766,815,780,1315,1613,1673,1682,1062,21.97,71.55,56.95
7.2527854442596436,217,551,811,863,827,1393,1709,1772,1781,1032,21.97,71.54,56.98
8.277910232543945,228,581,856,911,863,1460,1795,1861,1871,1078,21.96,71.53,57.01
9.301191806793213,233,599,883,940,878,1494,1840,1909,1919,1088,21.96,71.53,57.01
10.32445216178894,240,617,912,971,896,1531,1889,1960,1970,1093,21.95,71.51,57.04
11.332985162734985,245,632,934,995,913,1564,1931,2004,2014,1078,21.95,71.50,57.07
12.356085300445557,251,648,957,1019,933,1599,1975,2050,2061,1088,21.95,71.51,57.07
13.381136417388916,256,663,980,1043,952,1634,2019,2096,2107,1106,21.95,71.51,57.07
14.404278755187988,260,673,994,1059,969,1661,2051,2129,2140,1076,21.95,71.50,57.10
15.427584886550903,262,678,1002,1067,976,1673,2067,2146,2157,1078,21.94,71.48,57.13
16.436477661132812,266,689,1019,1085,987,1696,2096,2176,2188,1100,21.93,71.47,57.15
17.459600925445557,270,698,1032,1099,1003,1721,2127,2208,2219,1070,21.93,71.47,57.16
18.48409342765808,274,709,1048,1116,1016,1745,2157,2239,2251,1088,21.93,71.48,57.15
19.507180213928223,284,736,1089,1159,1051,1808,2236,2322,2334,1092,21.93,71.47,57.17
20.530436515808105,301,784,1160,1236,1108,1914,2371,2463,2476,1098,21.92,71.46,57.19
21.53959083557129,314,819,1213,1292,1155,1998,2476,2572,2585,1075,21.92,71.45,57.20
22.562691688537598,321,838,1240,1321,1181,2043,2532,2629,2644,1072,21.91,71.44,57.23
23.58730721473694,326,852,1262,1344,1198,2074,2572,2671,2686,1068,21.90,71.43,57.26
24.610400676727295,331,863,1278,1361,1217,2105,2608,2709,2724,1067,21.90,71.42,57.27
25.63364291191101,336,874,1294,1378,1243,2143,2652,2753,2768,1056,21.90,71.42,57.27
26.64263081550598,342,886,1311,1396,1266,2178,2694,2797,2812,1068,21.91,71.43,57.27
27.665833234786987,349,907,1342,1429,1290,2224,2752,2857,2872,1094,21.90,71.42,57.29
28.69025444984436,355,920,1360,1448,1315,2262,2796,2903,2918,1077,21.89,71.41,57.33
29.71334147453308,361,936,1384,1474,1335,2298,2842,2951,2967,1098,21.89,71.40,57.35
30.736686944961548,364,945,1398,1489,1346,2318,2868,2978,2994,1092,21.88,71.39,57.36
31.745759963989258,369,960,1422,1514,1361,2350,2910,3021,3038,1093,21.88,71.39,57.36
32.76919960975647,380,989,1464,1559,1401,2419,2996,3111,3128,1078,21.89,71.41,57.35
33.79264974594116,389,1014,1501,1599,1433,2477,3068,3186,3203,1088,21.91,71.43,57.32
34.815988540649414,397,1031,1527,1626,1463,2525,3126,3246,3263,1071,21.91,71.44,57.32
35.8249933719635,403,1045,1546,1646,1489,2565,3173,3294,3312,1068,21.92,71.45,57.31
36.84817886352539,407,1055,1561,1662,1510,2596,3209,3332,3349,1071,21.92,71.46,57.30
37.87161612510681,417,1079,1595,1698,1553,2663,3289,3414,3432,1056,21.92,71.46,57.32
38.895039319992065,433,1117,1650,1757,1614,2763,3410,3540,3558,1080,21.91,71.44,57.34
39.90428376197815,439,1131,1670,1778,1640,2804,3458,3589,3608,1055,21.91,71.43,57.34
40.927414655685425,445,1143,1688,1797,1669,2845,3506,3638,3657,1044,21.91,71.43,57.36
41.950801849365234,449,1151,1698,1808,1694,2878,3542,3675,3694,1030,21.90,71.42,57.38
42.97419476509094,459,1175,1734,1846,1727,2936,3615,3750,3770,1071,21.89,71.41,57.41
43.99944806098938,470,1207,1782,1897,1768,3010,3708,3847,3867,1067,21.88,71.38,57.46
