time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.028867244720459,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.148495674133301,0,0,0,0,0,0,0,0,0,1630,22.26,72.06,57.57
3.1718974113464355,0,0,0,0,0,0,0,0,0,1630,22.28,72.11,57.53
4.195407867431641,0,0,0,0,0,0,0,0,0,1630,22.29,72.12,57.49
5.21907901763916,0,0,0,0,0,0,0,0,0,1630,22.30,72.14,57.45
6.2427918910980225,0,0,0,0,0,0,0,0,0,1630,22.30,72.14,57.41
7.266591548919678,0,0,0,0,0,0,0,0,0,1630,22.30,72.15,57.39
8.289965152740479,1,5,8,8,0,3,6,7,7,1630,22.31,72.16,57.37
9.299195528030396,1,5,7,8,0,3,6,7,7,1630,22.31,72.16,57.35
10.32222056388855,1,4,7,8,0,3,6,7,7,1630,22.31,72.16,57.33
11.345569610595703,1,4,7,8,0,3,6,7,7,1630,22.32,72.18,57.31
12.354649782180786,1,4,7,8,0,3,6,6,7,1630,22.32,72.18,57.30
13.377911806106567,1,4,6,7,0,3,6,6,6,1630,22.32,72.18,57.29
14.401223182678223,1,4,6,6,0,3,6,6,6,1630,22.32,72.18,57.28
15.424722909927368,1,3,6,6,0,3,5,6,6,1630,22.32,72.18,57.28
16.432922840118408,1,3,5,6,0,3,5,6,6,1630,22.33,72.20,57.27
17.44167447090149,1,3,5,6,0,2,5,5,5,1630,22.33,72.19,57.26
18.464853763580322,1,3,5,5,0,2,5,5,5,1630,22.34,72.21,57.24
19.488264083862305,1,3,4,4,0,3,5,5,5,1630,22.35,72.22,57.22
20.511722087860107,1,2,4,4,0,3,4,5,5,1630,22.34,72.22,57.22
21.52095627784729,1,2,4,4,0,3,4,5,5,1630,22.35,72.23,57.20
22.544088125228882,1,2,4,4,0,2,4,4,5,1630,22.35,72.23,57.20
23.567466974258423,1,2,3,4,0,2,4,4,4,1630,22.35,72.24,57.20
